id,term,translation,alt_translation,comments
137,Діоніс,Дионис,"",Ім'я
138,Евеліна,Эвелина,"",Ім'я
139,Едвін,Эдвин,"",Ім'я
140,Едіп,Эдип,"",Ім'я
141,Едіта,Эдита,"",Ім'я
142,Елвін,Элвин,"",Ім'я
143,Елвіс,Элвис,"",Ім'я
144,Елліот,Эллиот,Элиот,Ім'я
145,Елліотт,Эллиотт,"",Ім'я
146,Еллісон,Эллисон,Элисон,Ім'я
147,Елоїза,Элоиза,"",Ім'я
148,Ельвіра,Эльвира,"",Ім'я
149,Еліас,Элиас,Илайя,Ім'я
150,Еліза,Элиза,Эльза,Ім'я
151,Еліна,Элина,"",Ім'я
152,Емануель,Эмануэль,"",Ім'я
153,Еммануель,Эммануэль,"",Ім'я
154,Еммануїл,Эммануил,"",Ім'я
155,Еміл,Эмил,Эмиль,Ім'я
156,Еміль,Эмиль,"",Ім'я
157,Ервін,Эрвин,"",Ім'я
158,Ерік,Эрик,"",Ім'я
159,Еріка,Эрика,"",Ім'я
160,Еріх,Эрих,"",Ім'я
161,Етьєн,Этьен,"",Ім'я
162,Жан-П'єр,Жан-Пьер,"",Ім'я
163,Захар,Захар,"",Ім'я
164,Зінаїда,Зинаида,"",Ім'я
165,Зінедін,Зинедин,"",Ім'я
166,Зіновій,Зиновий,"",Ім'я
167,Йоган,Иоганн,"",Ім'я
168,Йосип,Иосиф,"",Ім'я
169,Казімєж,Казимеж,"",Ім'я
170,Катерина,Екатерина,"",Ім'я
171,Костянтин,Константин,"",Ім'я
172,Крістіан,Кристиан,"",Ім'я
173,Крістіна,Кристина,"",Ім'я
174,Кіндратій,Кондратий,"",Ім'я
175,Льоня,Леня,"",Ім'я
176,Лідія,Лидия,"",Ім'я
177,Марі-Елен,Мари-Элен,"",Ім'я
178,Марі-Жозефіна,Мари-Жозефина,"",Ім'я
179,Маріана,Марианна,"",Ім'я
180,Марієтта,Мариетта,"",Ім'я
181,Микола,Николай,"",Ім'я
182,Михайло,Михаил,"",Ім'я
183,Мустафа-Ефенді,Мустафа-Эфенди,"",Ім'я
184,Мікаель,Микаэль,Михаэль,Ім'я
185,Мітрідат,Митридат,"",Ім'я
186,Міхаель,Михаэль,"",Ім'я
187,Наталка,Наталья,"",Ім'я
188,Натаніель,Натаниэль,Натаниель,Ім'я
189,Нуріель,Нуриэль,"",Ім'я
190,Нікіта,Никита,"",Ім'я
191,Овсій,Евсей,"",Ім'я
192,Овідій,Овидий,"",Ім'я
193,Оксентій,Аксентий,"",Ім'я
194,Олексій,Алексей,"",Ім'я
195,Олівія,Оливия,"",Ім'я
196,Омелян,Емельян,"",Ім'я
197,П'єр,Пьер,"",Ім'я
198,Павло,Павел,"",Ім'я
199,Паїсій,Паисий,"",Ім'я
200,Пилип,Филипп,"",Ім'я
201,Пріська,Приска,"",Ім'я
202,Пігмаліон,Пигмалион,"",Ім'я
203,Раян,Райан,Раян,Ім'я
204,Рєпін,Репин,"",Ім'я
205,Саватій,Савватий,"",Ім'я
206,Сашко,Саша,"",Ім'я
207,Семюел,Самуэль,Сэмюэл,Ім'я
208,Семюель,Самуэль,Сэмюэл,Ім'я
209,Семіраміда,Семирамида,"",Ім'я
210,Сесілія,Сесилия,"",Ім'я
211,Сміяна,Смеяна,"",Ім'я
212,Софі-Марія,Софи-Мария,"",Ім'я
213,Сізіф,Сизиф,"",Ім'я
214,Сільвія,Сильвия,"",Ім'я
215,Таріел,Тариэл,"",Ім'я
216,Таїп,Тайип,"",Ім'я
217,Таїсія,Таисия,"",Ім'я
218,Тетяна,Татьяна,"",Ім'я
219,Тревіс,Тревис,Трэвис,Ім'я
220,Тьєрі,Тьери,Тиери,Ім'я
221,Тіціан,Тициан,"",Ім'я
222,Фаб'єн,Фабьен,"",Ім'я
223,Фрідріх,Фридрих,"",Ім'я
224,Філіпп,Филипп,"",Ім'я
225,Хав'єр,Хавьер,"",Ім'я
226,Штірліц,Штирлиц,"",Ім'я
227,Юхим,Ефим,"",Ім'я
228,Єва,Ева,"",Ім'я
229,Євграф,Евграф,"",Ім'я
230,Євдоким,Евдоким,"",Ім'я
231,Євсей,Евсей,"",Ім'я
232,Єгор,Егор,"",Ім'я
233,Єлена,Елена,"",Ім'я
234,Єлизавета,Елизавета,"",Ім'я
235,Єлисей,Елисей,"",Ім'я
236,Єрмолай,Ермолай,"",Ім'я
237,Єфрем,Ефрем,"",Ім'я
238,Іван,Иван,"",Ім'я
239,Іванка,Иванка,"",Ім'я
240,Іванна,Иванна,"",Ім'я
241,Івасик,Ивасик,"",Ім'я
242,Івета,Иветта,"",Ім'я
243,Ігнат,Игнат,Игнатий,Ім'я
244,Іда,Ида,"",Ім'я
245,Ізольда,Изольда,"",Ім'я
246,Ікар,Икар,"",Ім'я
247,Ілона,Илона,"",Ім'я
248,Ілько,Илько,"",Ім'я
249,Ільф,Ильф,"",Ім'я
250,Ільхам,Ильхам,"",Ім'я
251,Інга,Инга,"",Ім'я
252,Інгмар,Ингмар,"",Ім'я
253,Інна,Инна,"",Ім'я
254,Іоанна,Иоанна,"",Ім'я
255,Іра,Ира,"",Ім'я
256,Ірина,Ирина,"",Ім'я
257,Іринка,Иринка,"",Ім'я
258,Ірма,Ирма,"",Ім'я
259,Ісаак,Исаак,"",Ім'я
260,Ісидор,Исидор,"",Ім'я
261,Ісхак-Бей,Исхак-Бей,"",Ім'я
262,Іцхак,Ицхак,"",Ім'я
263,Іштван,Иштван,"",Ім'я
264,Абді-Ага,Абди-Ага,"",Ім'я
265,Аврелій,Аврелий,"",Ім'я
266,Автанділ,Автандил,"",Ім'я
267,Авігдор,Авигдор,"",Ім'я
268,Агафія,Агафья,"",Ім'я
269,Агнеса,Агнесса,"",Ім'я
270,Адріан,Адриан,"",Ім'я
271,Азіза,Азиза,"",Ім'я
272,Акакій,Акакий,"",Ім'я
273,Алексій,Алексий,"",Ім'я
274,Алексіс,Алексис,"",Ім'я
275,Альбіна,Альбина,"",Ім'я
276,Альгірдас,Альгирдас,"",Ім'я
277,Алібек,Алибек,"",Ім'я
278,Аліна,Алина,"",Ім'я
279,Аліса,Алиса,"",Ім'я
280,Алістер,Алистер,"",Ім'я
281,Алішер,Алишер,"",Ім'я
282,Амброзій,Амброзий,"",Ім'я
283,Амвросій,Амвросий,"",Ім'я
284,Амелія,Амелия,"",Ім'я
285,Амір,Амир,"",Ім'я
286,Анастасія,Анастасия,"",Ім'я
287,Анатолій,Анатолий,"",Ім'я
288,Ангеліна,Ангелина,"",Ім'я
289,Анджеліна,Анджелина,"",Ім'я
290,Андріан,Андриан,"",Ім'я
291,Андріана,Андриана,"",Ім'я
292,Андрій,Андрей,"",Ім'я
293,Андріс,Андрис,"",Ім'я
294,Анжеліка,Анжелика,"",Ім'я
295,Анжеліна,Анжелина,"",Ім'я
296,Антоній,Антоний,"",Ім'я
297,Антоніс,Антонис,"",Ім'я
298,Антін,Антон,"",Ім'я
299,Анубіс,Анубис,"",Ім'я
300,Анфіса,Анфиса,"",Ім'я
301,Арвідас,Арвидас,"",Ім'я
302,Аркадій,Аркадий,"",Ім'я
303,Арсеній,Арсений,"",Ім'я
304,Артеміда,Артемида,"",Ім'я
305,Артемій,Артемий,"",Ім'я
306,Архімед,Архимед,"",Ім'я
307,Аріадна,Ариадна,"",Ім'я
308,Аттіла,Аттила,"",Ім'я
309,Ауріка,Аурика,"",Ім'я
310,Афанасій,Афанасий,"",Ім'я
311,Афродіта,Афродита,"",Ім'я
312,Афіна,Афина,"",Ім'я
313,Ахілл,Ахилл,"",Ім'я
314,Аїд,Аид,"",Ім'я
315,Баганець,Баганец,"",Ім'я
316,Бар'яхтар,Барьяхтар,"",Ім'я
317,Батий,Батый,"",Ім'я
318,Бенджамін,Бенджамин,"",Ім'я
319,Бенжамін,Бенжамин,"",Ім'я
320,Беньямін,Беньямин,"",Ім'я
321,Беніта,Бенита,"",Ім'я
322,Бетмен,Бэтмен,"",Ім'я
323,Богуміл,Богумил,"",Ім'я
324,Боровець,Боровец,"",Ім'я
325,Брендон,Брендон,Брэндон,Ім'я
326,Бригинець,Бригинец,"",Ім'я
327,Броніслав,Бронислав,"",Ім'я
328,Білл,Билл,"",Ім'я
329,В'ячеслав,Вячеслав,"",Ім'я
330,Вагіт,Вагит,"",Ім'я
331,Вайльд,Уайльд,Вайльд,Ім'я
332,Валдіс,Валдис,"",Ім'я
333,Валер'ян,Валерьян,"",Ім'я
334,Валеріан,Валериан,"",Ім'я
335,Валерій,Валерий,"",Ім'я
336,Валерія,Валерия,"",Ім'я
337,Варфоломій,Варфоломей,"",Ім'я
338,Василина,Василина,"",Ім'я
339,Василій,Василий,"",Ім'я
340,Василіса,Василиса,"",Ім'я
341,Вероніка,Вероника,"",Ім'я
342,Влодзімеж,Влодзимеж,"",Ім'я
343,Волт,Уолт,"",Ім'я
344,Воррен,Уоррен,"",Ім'я
345,Воїслав,Воислав,"",Ім'я
346,Вєрка,Верка,"",Ім'я
347,Вєслав,Веслав,"",Ім'я
348,Віктор,Виктор,"",Ім'я
349,Вілен,Вилен,"",Ім'я
350,Вільгельм,Вильгельм,"",Ім'я
351,Вінсент,Винсент,"",Ім'я
352,Віолетта,Виолетта,"",Ім'я
353,Вірляна,Вирляна,"",Ім'я
354,Віслава,Вислава,"",Ім'я
355,Віта,Вита,"",Ім'я
356,Віталик,Виталик,"",Ім'я
357,Віталь,Виталь,"",Ім'я
358,Вітаутас,Витаутас,"",Ім'я
359,Вітовт,Витовт,"",Ім'я
360,Вітольд,Витольд,"",Ім'я
361,Гавриїл,Гавриил,Гаврил,Ім'я
362,Газі-Бей,Гази-Бей,"",Ім'я
363,Гайнц,Хайнц,"",Ім'я
364,Галактіон,Галактион,"",Ім'я
365,Гамалія,Гамалия,"",Ім'я
366,Гамід,Гамид,"",Ім'я
367,Ганнібал,Ганнибал,"",Ім'я
368,Гаррісон,Гаррисон,"",Ім'я
369,Гарсія,Гарсия,"",Ім'я
370,Гарік,Гарик,"",Ім'я
371,Геліос,Гелиос,"",Ім'я
372,Геннадій,Геннадий,"",Ім'я
373,Генріх,Генрих,"",Ім'я
374,Георгій,Георгий,"",Ім'я
375,Георгіос,Георгиос,"",Ім'я
376,Геракліт,Гераклит,"",Ім'я
377,Герасимець,Герасимец,"",Ім'я
378,Герміона,Гермиона,"",Ім'я
379,Гліб,Глеб,"",Ім'я
380,Гмиря,Гмыря,"",Ім'я
381,Горацій,Гораций,"",Ім'я
382,Гордій,Гордей,"",Ім'я
383,Горовець,Горовец,"",Ім'я
384,Горовиця,Горовица,"",Ім'я
385,Григорій,Григорий,"",Ім'я
386,Григір,Григор,Григорий,Ім'я
387,Грицько,Грицко,"",Ім'я
388,Гришковець,Гришковец,"",Ім'я
389,Гідон,Гидон,"",Ім'я
390,Гійом,Гийом,"",Ім'я
391,Гілберт,Гилберт,"",Ім'я
392,Гіппократ,Гиппократ,"",Ім'я
393,Гітлер,Гитлер,"",Ім'я
394,Дажбог,Даждьбог,"",Ім'я
395,Даліла,Далила,"",Ім'я
396,Данелія,Данелия,"",Ім'я
397,Даниїл,Даниил,"",Ім'я
398,Дар'я,Дарья,"",Ім'я
399,Дарій,Дарий,"",Ім'я
400,Дарія,Дарья,Дария,Ім'я
401,Дастін,Дастин,"",Ім'я
402,Дейв,Дэйв,Дейв,Ім'я
403,Дейвід,Дейвид,Девид,Ім'я
404,Дем'ян,Демьян,"",Ім'я
405,Денніс,Деннис,"",Ім'я
406,Джаміль,Джамиль,"",Ім'я
407,Джанні,Джанни,"",Ім'я
408,Джастін,Джастин,"",Ім'я
409,Дженні,Дженни,"",Ім'я
410,Дженніфер,Дженнифер,"",Ім'я
411,Джессіка,Джессика,"",Ім'я
412,Джеф,Джефф,"",Ім'я
413,Джорджіна,Джорджина,"",Ім'я
414,Джульєтта,Джульетта,"",Ім'я
415,Джуліан,Джулиан,"",Ім'я
416,Джулія,Джулия,"",Ім'я
417,Димитрій,Димитрий,"",Ім'я
418,Доріан,Дориан,"",Ім'я
419,Дурдинець,Дурдинец,"",Ім'я
420,Діана,Диана,"",Ім'я
